version,ihl,tos,len,ip_flags,frag,ttl,proto,ip_options,time,sport,dport,dataofs,reserved,tcp_udp_flags,window,urgptr,tcp_udp_options,land,time_diff,Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP
4,5,0,69,DF,0,64,6,0,1591102810.813798,60836,1885,8,0,PA,502,0,3,0,0.998871,0.0,0.0,0.0,0.0,24.0,0.0,0.0,24.0,0.0,0.0,23.0331,23.0331,0.998871,1.004592,0.0013941979872557498,1989.0,82.0,83.0,0.3378319623460881,24.0,405.0,16.0,17.0,0.3378319623460881,0.0
4,5,0,69,DF,0,64,6,0,1591102811.816674,60836,1885,8,0,PA,502,0,3,0,1.002876,0.0,0.0,0.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,24.035976,24.035976,0.998871,1.004592,0.0013947402126810444,2072.0,82.0,83.0,0.33166247903553997,25.0,422.0,16.0,17.0,0.33166247903553997,0.0
4,5,0,68,DF,0,64,6,0,1591102812.817905,60836,1885,8,0,PA,502,0,3,0,1.001231,0.0,0.0,0.0,0.0,26.0,0.0,0.0,26.0,0.0,0.0,25.037207,25.037207,0.998871,1.004592,0.0013664256450071966,2154.0,82.0,83.0,0.36794648440311994,26.0,438.0,16.0,17.0,0.36794648440311994,0.0
4,5,0,69,DF,0,64,6,0,1591102813.818545,60836,1885,8,0,PA,502,0,3,0,1.000640,0.0,0.0,0.0,0.0,27.0,0.0,0.0,27.0,0.0,0.0,26.037847,26.037847,0.998871,1.004592,0.0013491146709544801,2237.0,82.0,83.0,0.36201399289824565,27.0,455.0,16.0,17.0,0.36201399289824565,0.0
4,5,0,69,DF,0,64,6,0,1591102814.820099,60836,1885,8,0,PA,502,0,3,0,1.001554,0.0,0.0,0.0,0.0,28.0,0.0,0.0,28.0,0.0,0.0,27.039401,27.039401,0.998871,1.004592,0.001323051159392701,2320.0,82.0,83.0,0.3563483225498992,28.0,472.0,16.0,17.0,0.3563483225498992,0.0
4,5,0,69,DF,0,64,6,0,1591102815.821752,60836,1885,8,0,PA,502,0,3,0,1.001653,0.0,0.0,0.0,0.0,29.0,0.0,0.0,29.0,0.0,0.0,28.041054,28.041054,0.998871,1.004592,0.0012988350152445833,2403.0,82.0,83.0,0.3509312031717982,29.0,489.0,16.0,17.0,0.3509312031717982,0.0
4,5,0,69,DF,0,64,6,0,1591102816.822952,60836,1885,8,0,PA,502,0,3,0,1.001200,0.0,0.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,29.042254,29.042254,0.998871,1.004592,0.0012763883332825873,2486.0,82.0,83.0,0.3457459036417604,30.0,506.0,16.0,17.0,0.3457459036417604,0.0
4,5,0,69,DF,0,64,6,0,1591102817.824770,60836,1885,8,0,PA,502,0,3,0,1.001818,0.0,0.0,0.0,0.0,31.0,0.0,0.0,31.0,0.0,0.0,30.044072,30.044072,0.998871,1.004592,0.0012559188677214984,2569.0,82.0,83.0,0.3407771005482389,31.0,523.0,16.0,17.0,0.3407771005482389,0.0
4,5,0,69,DF,0,64,6,0,1591102818.826795,60836,1885,8,0,PA,502,0,3,0,1.002025,0.0,0.0,0.0,0.0,32.0,0.0,0.0,32.0,0.0,0.0,31.046097,31.046097,0.998871,1.004592,0.0012388398605146672,2652.0,82.0,83.0,0.3360107525161235,32.0,540.0,16.0,17.0,0.3360107525161235,0.0
4,5,0,68,DF,0,64,6,0,1591102819.829396,60836,1885,8,0,PA,502,0,3,0,1.002601,0.0,0.0,0.0,0.0,33.0,0.0,0.0,33.0,0.0,0.0,32.048698,32.048698,0.998871,1.004592,0.001234503176481104,2734.0,82.0,83.0,0.36410954062720957,33.0,556.0,16.0,17.0,0.36410954062720957,0.0
